layer,intensity,thickness,modulus,DoC
10,10,1.227,982.16,0.702386699
10,20,1.273,2029.1,0.71941662
10,30,1.365,6675.7,0.711217223
10,40,1.439,2478.8,0.725419206
10,50,1.412,14277,0.738470959
10,60,1.346,22945,0.740628357
10,70,1.333,26509,0.736627362
10,80,1.294,27403,0.744775489
10,90,1.298,32604,0.741883345
10,100,1.229,31686,0.751102924
15,10,1.866,1597.1,0.678970622
15,20,1.847,7814.4,0.695829251
15,30,1.896,15952,0.691135935
15,40,1.942,23130,0.718253065
15,50,1.9,28736,0.7128347
15,60,1.879,42478,0.729857087
15,70,1.78,44329,0.726888745
15,80,1.96,53574,0.730464912
15,90,1.935,44329,0.733663452
15,100,1.885,39773,0.754193335
20,10,2.271,1837.7,0.672106004
20,20,2.243,17108,0.697741935
20,30,2.289,37912,0.699600783
20,40,2.212,54694,0.691242518
20,50,2.204,55029,0.709850805
20,60,2.226,59171,0.720823623
20,70,2.233,58497,0.752426776
20,80,2.288,65856,0.744677467
20,90,2.269,78070,0.748064258
20,100,2.297,68244,0.788941198
25,10,2.885,1396.9,0.65218836
25,20,2.839,15515,0.664541554
25,30,3.048,23111,0.711196562
25,40,3.001,30426,0.720978335
25,50,2.991,38864,0.717728761
25,60,2.934,46089,0.727597176
25,70,3.23,45576,0.735209774
25,80,3.029,62577,0.733370077
25,90,2.996,60013,0.743548584
25,100,2.925,68335,0.751830501
30,10,3.542,1442.7,0.656637923
30,20,3.511,5932.3,0.666191531
30,30,3.62,33051,0.719837047
30,40,3.436,50447,0.720190268
30,50,3.552,47692,0.728403376
30,60,3.47,47692,0.723032062
30,70,3.426,27814,0.733128398
30,80,3.389,30111,0.736643719
30,90,3.481,36133,0.749354778
30,100,3.425,36133,0.747770175
